rp_string,pl_string,sentence,sentence_xpath,xml_name,status
"(Rodas-Junco et al., 2017)",not in list,"Dental pulp (DP) is an innervated, highly vascularized soft tissue that provides vitality to the tooth (Rodas-Junco et al., 2017).","substring(string(/article/body/sec[1]/p),1,130)",10test.xml
"Marrelli et al., 2018",not in list,"DP is located inside each primary or permanent tooth, and its main functions include the generation of dentin and maintenance of its biological and physiological vitality in response to traumatic injuries, physical stimulus or bacterial infections (Marrelli et al., 2018; Ravindra et al., 2015; Tatullo et al., 2015).","substring(string(/article/body/sec[1]/p),132,317)",10test.xml
"Ravindra et al., 2015",not in list,"DP is located inside each primary or permanent tooth, and its main functions include the generation of dentin and maintenance of its biological and physiological vitality in response to traumatic injuries, physical stimulus or bacterial infections (Marrelli et al., 2018; Ravindra et al., 2015; Tatullo et al., 2015).","substring(string(/article/body/sec[1]/p),132,317)",10test.xml
"Tatullo et al., 2015",not in list,"DP is located inside each primary or permanent tooth, and its main functions include the generation of dentin and maintenance of its biological and physiological vitality in response to traumatic injuries, physical stimulus or bacterial infections (Marrelli et al., 2018; Ravindra et al., 2015; Tatullo et al., 2015).","substring(string(/article/body/sec[1]/p),132,317)",10test.xml
"Chalisserry et al., 2017",not in list,"Moreover, DPSCs are going to be ideal for tissue engineering and regenerative medicine (Chalisserry et al., 2017; Honda, Sato & Toriumi, 2017; Ledesma-Martínez, Mendoza-Núñez & Santiago-Osorio, 2016).","substring(string(/article/body/sec[1]/p),749,200)",10test.xml
"Honda, Sato & Toriumi, 2017",not in list,"Moreover, DPSCs are going to be ideal for tissue engineering and regenerative medicine (Chalisserry et al., 2017; Honda, Sato & Toriumi, 2017; Ledesma-Martínez, Mendoza-Núñez & Santiago-Osorio, 2016).","substring(string(/article/body/sec[1]/p),749,200)",10test.xml
"Ledesma-Martínez, Mendoza-Núñez & Santiago-Osorio, 2016",not in list,"Moreover, DPSCs are going to be ideal for tissue engineering and regenerative medicine (Chalisserry et al., 2017; Honda, Sato & Toriumi, 2017; Ledesma-Martínez, Mendoza-Núñez & Santiago-Osorio, 2016).","substring(string(/article/body/sec[1]/p),749,200)",10test.xml
"(Raoof et al., 2014)",not in list,"However, there are some disadvantages associated with the isolation of DPSCs, which might be directly related to the size and weight of DP tissue by limiting the number of stem cells isolated from it (Raoof et al., 2014).","substring(string(/article/body/sec[1]/p),950,221)",10test.xml
Ravindra et al. (2015),not in list,"For example, Ravindra et al. (2015) observed through intra-oral radiography that the total area of the pulp decreased with age.","substring(string(/article/body/sec[1]/p),1307,127)",10test.xml
"Hossain et al., 2017","(Hossain et al., 2017; Von Böhl et al., 2016)","Other authors focus on establishing regression equations using the number of cells in DP to also predict age (Hossain et al., 2017; Von Böhl et al., 2016).","substring(string(/article/body/sec[1]/p),1435,155)",10test.xml
"Von Böhl et al., 2016","(Hossain et al., 2017; Von Böhl et al., 2016)","Other authors focus on establishing regression equations using the number of cells in DP to also predict age (Hossain et al., 2017; Von Böhl et al., 2016).","substring(string(/article/body/sec[1]/p),1435,155)",10test.xml
"Daud et al., 2016",not in list,"Several researchers have focused on obtaining DPSCs from exfoliated deciduous or permanent third molars because stem cells from these teeth exhibit a high proliferation capacity (Daud et al., 2016; Shekar & Ranganathan, 2012).","substring(string(/article/body/sec[4]/p[1]),132,226)",10test.xml
"Shekar & Ranganathan, 2012",not in list,"Several researchers have focused on obtaining DPSCs from exfoliated deciduous or permanent third molars because stem cells from these teeth exhibit a high proliferation capacity (Daud et al., 2016; Shekar & Ranganathan, 2012).","substring(string(/article/body/sec[4]/p[1]),132,226)",10test.xml
"Alsulaimani et al., 2016",not in list,"Besides, pulp weight is a parameter that few authors have considered to obtain DPSCs (Alsulaimani et al., 2016; Kellner et al., 2014; Singh et al., 2016).","substring(string(/article/body/sec[4]/p[1]),629,154)",10test.xml
"Kellner et al., 2014","(Alsulaimani et al., 2016; Kellner et al., 2014; Singh et al., 2016)","Besides, pulp weight is a parameter that few authors have considered to obtain DPSCs (Alsulaimani et al., 2016; Kellner et al., 2014; Singh et al., 2016).","substring(string(/article/body/sec[4]/p[1]),629,154)",10test.xml
"Singh et al., 2016","(Alsulaimani et al., 2016; Kellner et al., 2014; Singh et al., 2016)","Besides, pulp weight is a parameter that few authors have considered to obtain DPSCs (Alsulaimani et al., 2016; Kellner et al., 2014; Singh et al., 2016).","substring(string(/article/body/sec[4]/p[1]),629,154)",10test.xml
Méndez & Zarzoza (1999),not in list,In Méndez & Zarzoza (1999) reported a mean weight pulp of 13.10 ± 4.33 mg in eight premolars fragmented with a hammer.,"substring(string(/article/body/sec[4]/p[1]),1575,118)",10test.xml
Kellner et al. (2014),not in list,"Recently, Kellner et al. (2014) determined that the relation between pulp vs. hard tooth tissue in third molar decreases with aging.","substring(string(/article/body/sec[4]/p[2]),140,132)",10test.xml
"Kazmi, Anderson & Liversidge (2017)",not in list,"For example, Kazmi, Anderson & Liversidge (2017) used conventional radiology to measure the mesio-distal crown width of deciduous teeth in males and females, revealing no significant differences, which was consistent with our findings (Table 1).","substring(string(/article/body/sec[4]/p[3]),353,245)",10test.xml
Lizier et al. (2012),not in list,"For instance, Lizier et al. (2012) indicated that DPSCs are located in multiple niches, which are associated with capillaries and the nerve network of the central region in the CRZ and in the outer layer of pulp tissue (Graziano et al., 2008; Pagella et al., 2015).","substring(string(/article/body/sec[4]/p[3]),806,265)",10test.xml
"Graziano et al., 2008","(Graziano et al., 2008; Pagella et al., 2015)","For instance, Lizier et al. (2012) indicated that DPSCs are located in multiple niches, which are associated with capillaries and the nerve network of the central region in the CRZ and in the outer layer of pulp tissue (Graziano et al., 2008; Pagella et al., 2015).","substring(string(/article/body/sec[4]/p[3]),806,265)",10test.xml
"Pagella et al., 2015","(Graziano et al., 2008; Pagella et al., 2015)","For instance, Lizier et al. (2012) indicated that DPSCs are located in multiple niches, which are associated with capillaries and the nerve network of the central region in the CRZ and in the outer layer of pulp tissue (Graziano et al., 2008; Pagella et al., 2015).","substring(string(/article/body/sec[4]/p[3]),806,265)",10test.xml
Gronthos et al. (2002),not in list,Gronthos et al. (2002) showed that the DP derived from lower deciduous central incisors contains a large number of cells able to form adherent colonies similar to mesenchymal stem cells in in vitro culture.,"substring(string(/article/body/sec[4]/p[4]),1,206)",10test.xml
"(Marrelli et al., 2018)",not in list,"In contrast, the small number of cells available for isolation due to the size of the pulp, especially in exfoliated deciduous teeth represents a potential problem with obtaining DPSCs (Marrelli et al., 2018).","substring(string(/article/body/sec[4]/p[4]),208,209)",10test.xml
"(Dunaway et al., 2017)",not in list,"Thus, one of the advantages of supernumerary teeth for the isolation of cells is that these teeth are extracted at an early age, which apparently retain embryogenic characteristics as demonstrated for another source of stem cells from the oral cavity (Dunaway et al., 2017).","substring(string(/article/body/sec[4]/p[4]),418,274)",10test.xml
