explicit_doi,bibref,retrieved_local_doi,retrieved_remote_doi,manual_doi
,"Mendoza, L, Vilela, R, Voelz, K, Ibrahim, AS, Voigt, K, Lee, SC. Human fungal pathogens of mucorales and entomophthorales, Cold Spring Harb Perspect Med, 2015, 5, pii: a019562 doi: 10.1101/cshperspect.a019562",10.1101/cshperspect.a019562,10.1101/cshperspect.a019562,10.1101/cshperspect.a019562
,"Prabhu, RM, and Patel, R. Mucormycosis and entomophthoramycosis: A review of the clinical manifestations, diagnosis and treatment, Clin Microbiol Infect, 2004, 10, 31, 47, PMID: 14748801",10.1111/j.1470-9465.2004.00843.x,10.1111/j.1470-9465.2004.00843.x,10.1111/j.1470-9465.2004.00843.x
,"Ramesh, A, Deka, RC, Vijayaraghavan, M, Ray, R, Kabra, SK, Rakesh, K. Entomophthoromycosis of the nose and paranasal sinus, Indian J Pediatr, 2000, 67, 307, 10, PMID: 10878876",10.1007/bf02758182,10.1007/bf02758182,10.1007/bf02758182 
,"Michael, RC, Michael, JS, Mathews, MS, Rupa, V. Unusual presentation of entomophthoromycosis, Indian J Med Microbiol, 2009, 27, 156, 8, PMID: 19384042",10.4103/0255-0857.49432,10.4103/0255-0857.49432,10.4103/0255-0857.49432 
,"Bittencourt, AL, Marback, R, Nossa, LMB. Mucocutaneous entomoptharomycosis acquired by conjunctival inoculation of the fungus, Am J Trop Med Hyg, 2006, 75, 936, 8, PMID: 17123991",10.4269/ajtmh.2006.75.936,10.4269/ajtmh.2006.75.936,10.4269/ajtmh.2006.75.936
10.1128/cmr.18.3.556-569.2005,"Spellberg, B, Edwards, J, Jr, Ibrahim, A. Novel perspectives on mucormycosis: Pathophysiology, presentation, and management, Clin Microbiol Rev, 2005, 18, 556, 69, PMID: 16020690",10.1128/cmr.18.3.556-569.2005,10.1128/cmr.18.3.556-569.2005,10.1128/cmr.18.3.556-569.2005
10.1371/journal.pntd.0003984,"Blumentrath, CG, Grobusch, MP, Matsiégui, PB, Pahlke, F, Zoleko-Manego, R, Nzenze-Aféne, S. Classification of rhinoentomophthoromycosis into atypical, early, intermediate, and late disease: A proposal, PLoS Negl Trop Dis, 2015, 9, e0003984, PMID: 26426120",10.1371/journal.pntd.0003984,10.1371/journal.pntd.0003984,10.1371/journal.pntd.0003984
,"Gugnani, HC. Entomophthoromycosis due to conidiobolus, Eur J Epidemiol, 1992, 8, 391, 6, PMID: 1397203",10.1007/bf00158574,10.1007/bf00158574,10.1007/bf00158574
,"Foss, NT, Rocha, MR, Lima, VT, Velludo, MA, Roselino, AM. Entomophthoramycosis: Therapeutic success by using amphotericin B and terbinafine, Dermatology, 1996, 193, 258, 60, PMID: 8944354",10.1159/000246260,10.1159/000246260,10.1159/000246260 
,"Chowdary, A, Randhawa, HS, Khan, ZU, Ahmad, S, Khanna, G, Gupta, R. Rhinoentomophthoromycosis due to, Conidiobolus coronatus. A case report and an overview of the disease in India, Med Mycol, 2010, 48, 870, 9, PMID: 20482451",10.3109/13693786.2010.486010,10.3109/13693786.2010.486010,10.3109/13693786.2010.486010 
