explicit_doi,bibref,retrieved_local_doi,retrieved_remote_doi,manual_doi
10.1016/j.jsbmb.2013.05.011,"Gupta, A, Kumar, SB, Negi, AS. Current status on development of steroids as anticancer agents. J Steroid Biochem Mol Biol 2013; 137: 242–70. PMID: 23727548",10.1016/j.jsbmb.2013.05.011,10.1016/j.jsbmb.2013.05.011,10.1016/j.jsbmb.2013.05.011
,"Butenandt, A, Wolff, A, Karlson, P. Über Lumi-oestron. Chem Ber 1941; 74: 1308–12.",10.1002/cber.19410740724,10.1002/cber.19410740724,10.1002/cber.19410740724
,"Yaremenko, FG, Khvat, AV. A new one-pot synthesis of 17-oxo-13α-steroids of the androstane series from their 13β-analogues. Mendeleev Commun 1994; 187: 187–8.",10.1070/mc1994v004n05abeh000409,10.1070/mc1994v004n05abeh000409,10.1070/mc1994v004n05abeh000409
10.1016/j.jsbmb.2011.07.009,"Ayan, D, Roy, J, Maltais, R, Poirier, D. Impact of estradiol structural modifications (18-methyl and/or 17-hydroxy inversion of configuration) on the in vitro and in vivo estrogenic activity. J Steroid Biochem Mol Biol 2011; 127: 324–30. PMID: 21827856",10.1016/j.jsbmb.2011.07.009,10.1016/j.jsbmb.2011.07.009,10.1016/j.jsbmb.2011.07.009
10.1021/jo000108x,"Schönecker, B, Lange, C, Kötteritzsch, M, et al. Conformational design for 13α-steroids. J Org Chem 2000; 65: 5487–97. PMID: 10970286",10.1021/jo000108x,10.1021/jo000108x,10.1021/jo000108x
10.1016/j.ejmech.2014.09.051,"Kaur, R, Kaur, G, Kaur Gill, R, et al. Recent developments in tubulin polymerization inhibitors: an overview. Eur J Med Chem 2014; 87: 89–124. PMID: 25240869",10.1016/j.ejmech.2014.09.051,10.1016/j.ejmech.2014.09.051,10.1016/j.ejmech.2014.09.051
10.1016/j.tcb.2018.05.001,"Steinmetz, MO, Prota, AE. Microtubule-targeting agents: strategies to hijack the cytoskeleton. Trends Cell Biol 2018; 28: 776–92. PMID: 29871823",10.1016/j.tcb.2018.05.001,10.1016/j.tcb.2018.05.001,10.1016/j.tcb.2018.05.001
10.1016/j.ejmech.2019.03.025,"Naaz, F, Haider, MR, Shafi, S, Yar, MS. Anti-tubulin agents of natural origin: targeting taxol, vinca, and colchicine binding domains. Eur J Med Chem 2019; 171: 310–31. PMID: 30953881",10.1016/j.ejmech.2019.03.025,10.1016/j.ejmech.2019.03.025,10.1016/j.ejmech.2019.03.025
10.1016/j.ejmech.2017.11.062,"Cao, YN, Zheng, LL, Wang, D, et al. Recent advances in microtubule-stabilizing agents. Eur J Med Chem 2018; 143: 806–28. PMID: 29223097",10.1016/j.ejmech.2017.11.062,10.1016/j.ejmech.2017.11.062,10.1016/j.ejmech.2017.11.062
10.1016/j.chembiol.2013.01.014,"Field, JJ, Díaz, JF, Miller, JH. The binding sites of microtubule-stabilizing agents. Chem Biol 2013; 20: 301–15. PMID: 23521789",10.1016/j.chembiol.2013.01.014,10.1016/j.chembiol.2013.01.014,10.1016/j.chembiol.2013.01.014
