doi;names;results_from_orcid;
10.1080/21623945.2020.1760674; [McKernan, Varghese, Patel, Singer]; [0000-0003-3171-7218, 0000-0001-8278-3800, 0000-0003-4627-9396];
10.1371/journal.pone.0170219; [Stokes, Preston]; [0000-0002-8502-3636];
10.1038/nature05485; [Hotamisligil]; [];
10.1016/j.pop.2009.01.009; [Schelbert]; [];
10.1161/circulationaha.108.772491; [Fearon, Fearon]; [];
10.1111/j.1749-6632.2012.06750.x; [Vucenik, Stains]; [];
10.1038/nature21363; [Hotamisligil]; [];
10.1172/jci57132; [Lumeng, Saltiel]; [0000-0003-0303-6204, 0000-0002-9726-9828];
10.1146/annurev-immunol-031210-101322; [Gregor, Hotamisligil]; [];
10.1172/jci92035; [Saltiel, Olefsky]; [];
10.1152/physrev.00034.2017; [Hammarstedt, Gogg, Hedjazifar, Nerstedt, Smith]; [];
10.1152/ajpendo.00377.2009; [Gustafson, Gogg, Hedjazifar, Jenndahl, Hammarstedt, Smith]; [];
10.1016/j.tem.2015.01.006; [Gustafson, Hedjazifar, Gogg, Hammarstedt, Smith]; [];
10.1016/j.ecl.2008.06.007; [Boden]; [];
10.1210/jc.2009-0027; [Liu, Liu, Jahn, Fowler, Barrett]; [];
10.2337/diacare.18.7.962; [Wolever, Bentum-Williams, Jenkins]; [];
10.2337/diab.37.8.1020; [Reaven, Hollenbeck, Jeng, Wu, Chen]; [];
10.1097/01.mco.0000172571.41149.52; [Bouloumié, Curat, Sengenès, Lolmède, Miranville, Busse]; [0000-0002-4820-6660];
10.1152/ajpendo.00506.2005; [Bruun, Helge, Richelsen, Stallknecht]; [0000-0001-7052-9127, 0000-0003-3117-0451, 0000-0001-8886-9736, 0000-0001-9724-5423, 0000-0001-9937-5467];
10.2337/diabetes.54.8.2277; [Cancello, Henegar, Viguerie, Taleb, Poitou, Rouault, Coupaye, Pelloux, Hugol, Bouillot, Bouloumie, Barbatelli, Cinti, Svensson, Barsh, Zucker, Basdevant, Langin, Clement]; [0000-0002-8486-5591, 0000-0002-1730-9915, 0000-0002-2669-7825, 0000-0003-0362-5017, 0000-0002-5597-7922, 0000-0002-6650-619X, 0000-0002-6731-806X];
10.1074/jbc.ra117.001526; [Griffin, Eter, Lanzetta, Abrishami, Varghese, McKernan, Muir, Lane, Lumeng, Singer]; [];
10.1172/jci29881; [Lumeng, Bodzin, Saltiel]; [0000-0003-0303-6204, 0000-0002-9726-9828];
10.1172/jci88883; [Crewe, An, Scherer]; [0000-0002-9678-3382];
10.2337/db07-0767; [Strissel, Stancheva, Miyoshi, Perfield, DeFuria, Jick, Greenberg, Obin]; [];
10.1016/j.cyto.2012.06.018; [Panee]; [];
10.1038/ijo.2015.244; [Cranford, Enos, Velázquez, McClellan, Davis, Singh, Nagarkatti, Nagarkatti, Robinson, Murphy]; [0000-0003-2663-0759, 0000-0002-5977-5615, 0000-0001-5571-4586];
10.1172/jci26498; [Kanda]; [];
10.1111/j.1582-4934.2010.01127.x; [Yu, Wang, Chen]; [];
10.2337/db11-1595; [Orr, Puglisi, Ellacott, Lumeng, Wasserman, Hasty]; [0000-0001-5261-7465, 0000-0003-0303-6204, 0000-0001-7302-8045];
10.1016/j.celrep.2014.03.062; [Vila, Badin, Marques, Monbrun, Lefort, Mir, Louche, Bourlier, Roussel, Gui, Grober, Štich, Rossmeislová, Zakaroff-Girard, Bouloumié, Viguerie, Moro, Tavernier, Langin]; [0000-0003-2407-6408, 0000-0002-1730-9915, 0000-0002-2669-7825, 0000-0002-0214-0344, 0000-0003-4294-0597, 0000-0002-6834-5721];
10.1016/j.cmet.2009.09.006; [Saberi, Woods, de Luca, Schenk, Lu, Bandyopadhyay, Verma, Olefsky]; [0000-0002-8224-3203];
10.1074/jbc.m002137200; [Lin, Lee, Berg, Lisanti, Shapiro, Scherer]; [];
10.1089/10799900050163299; [Matsumura, Ito, Takii, Hayashi, Onozaki]; [0000-0003-1760-3484];
10.1172/jci6709; [Frantz, Kobzik, Kim, Fukazawa, Medzhitov, Lee, Kelly]; [];
10.1172/jci28898; [Shi, Kokoeva, Inouye, Tzameli, Yin, Flier]; [];
10.1074/jbc.m305213200; [Lee, Ye, Gao, Youn, Lee, Zhao, Sizemore, Hwang]; [];
10.1111/j.1365-2567.2008.02892.x; [Schaeffler, Gross, Buettner, Bollheimer, Buechler, Neumeier, Kopp, Schoelmerich, Falk]; [];
10.1016/j.cmet.2018.03.014; [Lancaster, Langley, Berglund, Kammoun, Reibe, Estevez, Weir, Mellett, Pernes, Conway, Lee, Timpson, Murphy, Masters, Gerondakis, Bartonicek, Kaczorowski, Dinger, Meikle, Bond, Febbraio]; [0000-0003-4423-934X, 0000-0002-2593-4665, 0000-0003-3787-277X, 0000-0003-2900-098X, 0000-0001-7039-7777];
10.1172/jci58577; [Galic, Fullerton, Schertzer, Sikkema, Marcinko, Walkley, Izon, Honeyman, Chen, van Denderen, Kemp, Steinberg]; [0000-0002-4784-9031, 0000-0002-7611-5619, 0000-0001-5425-8275, 0000-0001-6735-5082];
10.1016/j.cmet.2014.06.008; [Hernandez, Lee, Kim, Duran, Linares, Yajima, Müller, Tschöp, Smith, Diaz-Meco, Moscat]; [];
10.1016/j.cell.2011.08.034; [Holzer, Park, Li, Tran, Chen, Choi, Solinas, Karin]; [0000-0002-0140-2621];
10.3390/cells8121633; [Tzeng, Chyuan, Chen]; [0000-0001-8603-1040, 0000-0003-2821-2235, 0000-0002-9325-8734];
10.1016/b978-0-12-800280-3.00001-3; [Gawronska-Kozak]; [];
10.1089/scd.2009.0051; [Staszkiewicz, Frazier, Rowan, Bunnell, Chiu, Gimble, Gawronska-Kozak]; [0000-0001-6196-3722];
10.1161/atvbaha.109.194050; [Erridge, Samani]; [0000-0003-2978-346X];
